id,username,text3,created,sent_polar,sent_subj,location,quoted
12353,TeddyD74794010,"RT @no_silenced: The NFL should pay all players the exact same amount of Money.....Equality, right.?? // ",Sat Jul 04 19:19:23 +0000 2020,0.1786,0.3036,,FALSE
12354,AdaraCensored,RT @mitchsnyder45: The NFL is in the business of ... // ,Sat Jul 04 19:19:24 +0000 2020,0,0,Land of the Not so Free,FALSE
12355,AmyRose77253769,"RT @realDonaldTrump: An amazing guy. Burgess is what we need in Washington, tough and smart!!! // Former NFL safety Burgess Owens wins Utah GOP House primary 

https://t.co/JdbSakntFf",Sat Jul 04 19:19:24 +0000 2020,0.2216,0.5127,,TRUE
12356,darrenvance74,A sad story. Such a talent. // Guest columnist: If only there were more Sundays for Bolts' Chuck Muncie https://t.co/1qRFSO6zG2 via @undefined,Sat Jul 04 19:19:28 +0000 2020,0,0.75,"San Diego, CA",TRUE
12357,PicksCity,"RT @Buydirectsports: Another #PremiumPick Winner 
@Buydirectsports

@PicksCity

#Juventus &amp; O1.5 on to #NFL #MLB #NBA #NHL #CFB #CBB #Socce… // ",Sat Jul 04 19:19:28 +0000 2020,0,0,,FALSE
12358,LibbyWe99,RT @thejtlewis: NFL players make millions a year playing a game. Don’t lecture us about how evil America is. #BoycottNFL // ,Sat Jul 04 19:19:28 +0000 2020,-0.7,0.7,,FALSE
12359,TheMooseDog,RT @mikefreemanNFL: Amy belongs in the Hall of Fame. // When I joined the @raiders there was no discussion about women in executive roles in sports and when I attended my… https://t.co/rGEXmwiJa7,Sat Jul 04 19:19:28 +0000 2020,0,0,"California, USA",TRUE
12360,bud48314887,"RT @atensnut: Two National Anthems?   

Hey NFL - that’s called Segregation.....Idiots. // ",Sat Jul 04 19:19:29 +0000 2020,0,0,Wi-summer Fl-winter,FALSE
12361,MrBigFingers,"RT @no_silenced: The NFL should pay all players the exact same amount of Money.....Equality, right.?? // ",Sat Jul 04 19:19:29 +0000 2020,0.1786,0.3036,Northeastern Texas,FALSE
12362,emilysgrandpa,"RT @no_silenced: The NFL should pay all players the exact same amount of Money.....Equality, right.?? // ",Sat Jul 04 19:19:30 +0000 2020,0.1786,0.3036, Naples FL,FALSE
12363,gsgducati848,@wileybkr @PatrickMahomes @NFL Not a democrat. // ,Sat Jul 04 19:19:30 +0000 2020,0,0,"Peoria, AZ",FALSE
12364,sporttyy,"RT @RealWayneRoot: I would NEVER stand for black national anthem, just as I would never stand for ""white national anthem."" That would be ra… // ",Sat Jul 04 19:19:30 +0000 2020,-0.0833,0.2167,Weeki Wachee,FALSE
12365,dougie_sr,RT @KyleKashuv: NFL about to go super woke and then super broke. // ,Sat Jul 04 19:19:30 +0000 2020,0.3333,0.6667,,FALSE
12366,HYD_R1ft,"RT @AdamSchefter: Best new name for the NFL team in Washington....?

Go.... // ",Sat Jul 04 19:19:31 +0000 2020,0.5682,0.3773,,FALSE
12367,grisingTRS,@LeaguePasshole @CasualBullsFan @WestFanClubCEO @HunidLikeWilt @thenicktripoli @datafox21 @MikanFanClubCEO… https://t.co/6pQd1j2GaR // ,Sat Jul 04 19:19:32 +0000 2020,0,0,"Tucson, Arizona",FALSE
12368,RadResilience,"Washington NFL team to do 'thorough review' of name, opening door to change https://t.co/7EI93i3wT2 via @nbcnews // ",Sat Jul 04 19:19:32 +0000 2020,0,0,"Menlo Park, CA",FALSE
12369,TheUrbanNewz,☑️https://t.co/9T7QmO6gJc   NFL expectations for WR Donovan Peoples-Jones - 247Sports https://t.co/3L1jzqZhmA https://t.co/ZTA9RrlGHb // ,Sat Jul 04 19:19:33 +0000 2020,0,0,world wide,FALSE
